# TaoMarketCap Subnet Snapshot — 2025-10-19 17:55 UTC

## Summary

- **Sum of SN Prices:** Sum of SN Prices

- **Total Subnets:** 129

- **Top Trending Subnets:** N/A


## Subnet Data

| ID | Name | Price (USD) | Market Cap | 24h Volume | Circulating Supply | Emissions |

|----|------|-------------|-------------|-------------|-------------------|------------|

| 1 | SN 0Root | 0.00% | Yes | $0+12.69% | +12.69% | +17.32% |

| 2 | شSN 64Chutes | 7.73% | Yes | $0-0.45% | -0.45% | +2.42% |

| 3 | زSN 62Ridges | 6.64% | Yes | $0+5.98% | +5.98% | +5.17% |

| 4 | תSN 51lium.io | 5.43% | Yes | $0-0.33% | -0.33% | -3.25% |

| 5 | δSN 4Targon | 4.42% | Yes | $0-0.10% | -0.10% | -0.29% |

| 6 | جSN 56Gradients | 3.13% | Yes | $0+0.20% | +0.20% | -2.64% |

| 7 | θSN 8Proprietary Trading Network | 2.78% | Yes | $0+0.08% | +0.08% | -6.26% |

| 8 | γSN 3τemplar | 2.57% | Yes | $0-0.69% | -0.69% | -3.62% |

| 9 | εSN 5Hone | 2.36% | Yes | $0-0.37% | -0.37% | -3.70% |

| 10 | נSN 41Sportstensor | 2.05% | Yes | $0-0.04% | -0.04% | +15.52% |

| 11 | ⲃSN 120affine | 6.21% | Yes | $0-1.39% | -1.39% | -5.35% |

| 12 | ιSN 9iota | 1.89% | Yes | $0-0.00% | -0.00% | +1.93% |

| 13 | יSN 34BitMind | 1.81% | Yes | $0+0.17% | +0.17% | -0.98% |

| 14 | ףSN 44Score | 1.57% | Yes | $0+1.28% | +1.28% | -0.19% |

| 15 | مSN 75Hippius | 1.78% | No | $0-4.01% | -4.01% | +1.00% |

| 16 | טSN 33ReadyAI | 1.47% | Yes | $0-0.82% | -0.82% | -15.04% |

| 17 | ρSN 17404—GEN | 1.28% | Yes | $0-0.49% | -0.49% | +2.95% |

| 18 | tSN 19Nineteen.ai | 1.11% | Yes | $0-0.17% | -0.17% | -2.25% |

| 19 | קSN 48Quantum Compute | 1.14% | Yes | $0-0.58% | -0.58% | -8.38% |

| 20 | ךSN 35Cartha | 1.07% | Yes | $0-0.75% | -0.75% | -8.62% |

| 21 | ξSN 14TAOHash | 1.07% | Yes | $0-0.18% | -0.18% | -2.23% |

| 22 | ץSN 46RESI | 0.96% | Yes | $0+8.87% | +8.87% | -15.08% |

| 23 | עSN 43Graphite | 0.93% | Yes | $0-0.50% | -0.50% | -0.95% |

| 24 | ظSN 68NOVA | 0.99% | Yes | $0-0.15% | -0.15% | -2.10% |

| 25 | αSN 1Apex | 0.97% | Yes | $0+0.52% | +0.52% | -1.24% |

| 26 | λSN 11Dippy Studio | 1.06% | Yes | $0-0.77% | -0.77% | -4.03% |

| 27 | שSN 50Synth | 0.90% | Yes | $0-4.96% | -4.96% | +1.21% |

| 28 | νSN 13Data Universe | 0.85% | Yes | $0-0.49% | -0.49% | -4.33% |

| 29 | بSN 53EfficientFrontier | 0.82% | Yes | $0+0.18% | +0.18% | -1.71% |

| 30 | ᚃSN 93Bitcast | 1.43% | Yes | $0-2.96% | -2.96% | +3.30% |

