# TaoMarketCap Subnet Snapshot — 2025-10-20 19:10 UTC

## Summary

- **Sum of SN Prices:** $1.024727

- **Total Subnets:** 129

- **Top Trending Subnets:** N/A


## Subnet Data

| ID | Name | Price (USD) | Market Cap | 24h Volume | Circulating Supply | Emissions |

|----|------|-------------|-------------|-------------|-------------------|------------|

| 0 | Unknown | $423.359086 | $10,130,664.23 | $3,473,658,698.20 | N/A | 0.000000 |

| 64 | Chutes | $0.000000 | $246,996.59 | $117,979.45 | N/A | 7.710626 |

| 62 | Ridges | $0.078818 | $213,336.21 | $1,860.61 | N/A | 6.761906 |

| 51 | lium.io | $0.069744 | $148,368.73 | $20,374.83 | N/A | 5.423385 |

| 4 | Targon | $0.055470 | $136,246.37 | $609.39 | N/A | 4.475349 |

| 56 | Gradients | $0.046208 | $95,888.51 | $2,043.60 | N/A | 3.138650 |

| 8 | Proprietary Trading Network | $0.032108 | $88,915.55 | $334.33 | N/A | 2.781748 |

| 3 | τemplar | $0.028462 | $77,640.54 | $143.43 | N/A | 2.563674 |

| 5 | Hone | $0.026191 | $63,240.39 | $236.04 | N/A | 2.358331 |

| 120 | affine | $0.024101 | $61,113.47 | $59.81 | N/A | 6.185341 |

| 41 | Sportstensor | $0.063231 | $59,773.14 | $2,985.78 | N/A | 2.018031 |

| 9 | iota | $0.020528 | $54,051.37 | $3,214.89 | N/A | 1.889920 |

| 34 | BitMind | $0.019287 | $52,069.98 | $713.50 | N/A | 1.813796 |

| 44 | Score | $0.018537 | $49,019.06 | $55.18 | N/A | 1.573138 |

| 75 | Hippius | $0.016094 | $47,915.00 | $1,147.77 | N/A | 1.743163 |

| 33 | ReadyAI | $0.017767 | $41,620.56 | $1,088.89 | N/A | 1.462818 |

| 17 | 404—GEN | $0.014934 | $40,004.15 | $578.46 | N/A | 1.273636 |

| 48 | Quantum Compute | $0.012996 | $32,581.59 | $65.08 | N/A | 1.136428 |

| 19 | Nineteen.ai | $0.011717 | $32,431.51 | $455.40 | N/A | 1.112746 |

| 35 | Cartha | $0.011364 | $31,118.20 | $73.86 | N/A | 1.048093 |

| 50 | Synth | $0.010725 | $30,627.57 | $908.25 | N/A | 0.904135 |

| 14 | TAOHash | $0.009911 | $30,504.02 | $6,364.69 | N/A | 1.072620 |

| 43 | Graphite | $0.010945 | $29,145.42 | $93.11 | N/A | 0.923517 |

| 68 | NOVA | $0.009442 | $29,082.66 | $14.15 | N/A | 0.989493 |

| 1 | Apex | $0.010112 | $29,035.41 | $156.00 | N/A | 0.977961 |

| 11 | Dippy Studio | $0.010011 | $28,392.95 | $382.35 | N/A | 1.060369 |

| 85 | Vidaio | $0.010875 | $27,145.81 | $298.04 | N/A | 1.140450 |

| 13 | Data Universe | $0.011988 | $26,991.20 | $12,420.86 | N/A | 0.851117 |

| 46 | RESI | $0.008691 | $26,766.89 | $127.94 | N/A | 0.933221 |

| 93 | Bitcast | $0.009325 | $25,668.79 | $10,046.71 | N/A | 1.425990 |

| 53 | EfficientFrontier | $0.014474 | $24,474.36 | $2,027.28 | N/A | 0.786110 |

